source_ENSEMBL target_ENSEMBL interaction
ENSG00000142208 ENSG00000158517 1
ENSG00000142208 ENSG00000163932 1
ENSG00000142208 ENSG00000183684 1
ENSG00000142208 ENSG00000166949 1
ENSG00000142208 ENSG00000269335 -1
ENSG00000142208 ENSG00000182670 1
ENSG00000142208 ENSG00000159399 1
ENSG00000142208 ENSG00000204531 1
ENSG00000142208 ENSG00000137693 -1
ENSG00000142208 ENSG00000204673 -1
ENSG00000142208 ENSG00000122691 1
ENSG00000142208 ENSG00000150593 -1
ENSG00000142208 ENSG00000131759 -1
ENSG00000142208 ENSG00000105880 1
ENSG00000142208 ENSG00000288516 1
ENSG00000142208 ENSG00000157764 -1
ENSG00000142208 ENSG00000100393 1
ENSG00000142208 ENSG00000165699 -1
ENSG00000142208 ENSG00000087088 -1
ENSG00000142208 ENSG00000118260 1
ENSG00000142208 ENSG00000124762 -1
ENSG00000142208 AKT1S1_DEPTOR_MLST8_MTOR_RPTOR -1
ENSG00000142208 ENSG00000106211 -1
ENSG00000142208 ENSG00000196396 -1
ENSG00000142208 ENSG00000179348 -1
ENSG00000142208 ENSG00000102145 1
ENSG00000142208 ENSG00000184216 -1
ENSG00000142208 ENSG00000215021 -1
ENSG00000142208 ENSG00000168283 1
ENSG00000142208 ENSG00000170374 1
ENSG00000142208 ENSG00000090020 1
ENSG00000142208 ENSG00000103197 -1
ENSG00000142208 ENSG00000126351 1
ENSG00000142208 ENSG00000129351 1
ENSG00000142208 ENSG00000187840 1
ENSG00000142208 ENSG00000164329 -1
ENSG00000142208 ENSG00000162367 -1
ENSG00000204673 ENSG00000141564 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ATG13_RB1CC1_ULK1 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000112561 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000177169 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000175634 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000118515 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000148572 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000171988 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000187840 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000108443 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000179632 -1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000136003 1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR ENSG00000106070 1
ENSG00000105221 ENSG00000092820 1
ENSG00000105221 ENSG00000118689 -1
ENSG00000105221 ENSG00000101966 1
